route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
"LA PLATA, WALDORF & ACCOKEEK - DC",3,000000,A6CAF0,1,7816,,,650
CHARLOTTE HALL/WALDORF -  DC,3,000000,A6CAF0,1,7817,,,705
WALDORF & ACCOKEEK - WASHINGTON DC,3,000000,A6CAF0,1,7814,,,640
NORTH AVE - RIVIERA BEACH EXPRESS,3,FFFFFF,FF0000,1,7815,,,64X
WALDORF - WASHINGTON DC,3,000000,A6CAF0,1,7812,,,620
LA PLATA/WALDORF - WASHINGTON DC,3,000000,A6CAF0,1,7813,,,630
FREDERICK - SHADY GROVE/ROCK SPRING,3,000000,A6CAF0,1,7810,,,515
WALDORF - WASHINGTON DC,3,000000,A6CAF0,1,7811,,,610
CHARLOTTE HALL/WALDORF - DC,3,000000,A6CAF0,1,7818,,,715
CALIFORNIA/CHARLOTTE HALL - DC,3,000000,A6CAF0,1,7819,,,725
Baltimore - Grantsville,3,,,MTA OLTS,WS,http://www.bayrunnershuttle.com/west/default.asp,"Service operated by Bayrunner Shuttle. For additional information, please call 1-855-229-7867",
OLD COURT METRO-MONDAWMIN METRO,3,FFFFFF,0000FF,1,7761,,,053
CLARKSVILLE & COLUMBIA - DC,3,000000,A6CAF0,1,7599,,,335
COLUMBIA & SILVER SPRING - DC,3,000000,A6CAF0,1,7598,,,325
LAUREL - BALTIMORE,3,000000,A6CAF0,1,7597,,,320
COLUMBIA & SILVER SPRING - DC,3,000000,A6CAF0,1,7596,,,315
COLUMBIA - BALTIMORE,3,000000,A6CAF0,1,7595,,,310
COLUMBIA & SILVER SPRING - DC,3,000000,A6CAF0,1,7594,,,305
NORTH AVE - RIVIERA BEACH EXPRESS,3,FFFFFF,FF0000,1,7610,,,64X
"LA PLATA, WALDORF & ACCOKEEK - DC",3,000000,A6CAF0,1,7611,,,650
CHARLOTTE HALL/WALDORF -  DC,3,000000,A6CAF0,1,7612,,,705
CHARLOTTE HALL/WALDORF - DC,3,000000,A6CAF0,1,7613,,,715
SINAI - FORT McHENRY,3,FFFFFF,0000FF,1,7517,,,001
ROGERS STATION-PATAPSCO STATION,3,FFFFFF,0000FF,1,7759,,,051
BELAIR EDISON SHUTTLE,3,FFFFFF,0000FF,1,7758,,,050
CEDONIA-PARADISE QUICKBUS,3,990000,FFFF00,1,7755,,,046
ROSEDALE IND PK - SECURITY SQ. MALL,3,FFFFFF,0000FF,1,7754,,,044
TOWSON - TRANSIT CTR,3,990000,FFFF00,1,7757,,,048
WALBROOK-OVERLEA QUICKBUS,3,990000,FFFF00,1,7756,,,047
NORTH BEND-COLD SPRING & GRANDVIEW,3,FFFFFF,0000FF,1,7751,,,038
NORTHERN PKWY & YORK - RIVERVIEW,3,FFFFFF,0000FF,1,7750,,,036
TURNERS STATION - C C B C ESSEX,3,FFFFFF,0000FF,1,7519,,,004
SHEPPARD PRATT/CROMWELL-DOWNTOWN,3,FFFFFF,0000FF,1,7518,,,003
COLUMBIA & SILVER SPRING - DC,3,000000,A6CAF0,1,7801,,,315
COLUMBIA - BALTIMORE,3,000000,A6CAF0,1,7800,,,310
COLUMBIA & SILVER SPRING - DC,3,000000,A6CAF0,1,7803,,,325
LAUREL - BALTIMORE,3,000000,A6CAF0,1,7802,,,320
ELLICOTT CITY & COLUMBIA - DC,3,000000,A6CAF0,1,7805,,,345
CLARKSVILLE & COLUMBIA - DC,3,000000,A6CAF0,1,7804,,,335
HICKORY TO HOPKINS HOSP,3,000000,A6CAF0,1,7807,,,411
CHURCHVILLE BALTIMORE,3,000000,A6CAF0,1,7806,,,410
HAGERSTOWN-SHADY GROVE/ROCK SPRING,3,000000,A6CAF0,1,7809,,,505
HAVRE DE GRACE - HOPKINS,3,000000,A6CAF0,1,7808,,,420
UMTC/PATAPSCO - ANNAPOLIS,3,FFFFFF,0000FF,1,7733,,,014
CALIFORNIA/CHARLOTTE HALL - DC,3,000000,A6CAF0,1,7614,,,725
STELLA MARIS - NORTH AVE,3,FFFFFF,0000FF,1,7731,,,012
TOWSON TOWN CENTER - INNER HARBOR,3,FFFFFF,0000FF,1,7730,,,011
WALDORF & ACCOKEEK - WASHINGTON DC,3,000000,A6CAF0,1,7609,,,640
LA PLATA/WALDORF - WASHINGTON DC,3,000000,A6CAF0,1,7608,,,630
WALDORF - WASHINGTON DC,3,000000,A6CAF0,1,7607,,,620
WALDORF - WASHINGTON DC,3,000000,A6CAF0,1,7606,,,610
FREDERICK - SHADY GROVE/ROCK SPRING,3,000000,A6CAF0,1,7605,,,515
HAGERSTOWN-SHADY GROVE/ROCK SPRING,3,000000,A6CAF0,1,7604,,,505
HAVRE DE GRACE - HOPKINS,3,000000,A6CAF0,1,7603,,,420
HICKORY TO HOPKINS HOSP,3,000000,A6CAF0,1,7602,,,411
CHURCHVILLE BALTIMORE,3,000000,A6CAF0,1,7601,,,410
ELLICOTT CITY & COLUMBIA - DC,3,000000,A6CAF0,1,7600,,,345
LUTHERVILLE - UMTC,3,FFFFFF,0000FF,1,7522,,,008
LUTHERVILLE-INTERNATIONAL CIRCLE,3,FFFFFF,0000FF,1,7523,,,009
MONDAWMIN - CEDONIA,3,FFFFFF,0000FF,1,7520,,,005
MONDAWMIN - CANTON,3,FFFFFF,0000FF,1,7521,,,007
STELLA MARIS - NORTH AVE,3,FFFFFF,0000FF,1,7526,,,012
CANTON/FELLS POINT - WALBROOK,3,FFFFFF,0000FF,1,7527,,,013
RT. 40/ROLLING - BULLNECK RD.,3,FFFFFF,0000FF,1,7524,,,010
TOWSON TOWN CENTER - INNER HARBOR,3,FFFFFF,0000FF,1,7525,,,011
UMTC/PATAPSCO - ANNAPOLIS,3,FFFFFF,0000FF,1,7528,,,014
SECURITY MALL - OVERLEA/PERRY HALL,3,FFFFFF,0000FF,1,7529,,,015
TURNERS STATION - C C B C ESSEX,3,FFFFFF,0000FF,1,7724,,,004
MONDAWMIN - CEDONIA,3,FFFFFF,0000FF,1,7725,,,005
MONDAWMIN - CANTON,3,FFFFFF,0000FF,1,7726,,,007
LUTHERVILLE - UMTC,3,FFFFFF,0000FF,1,7727,,,008
MONDAWMIN - BROOKLYN HOMES,3,FFFFFF,0000FF,1,7735,,,016
LUTHERVILLE-INTERNATIONAL CIRCLE,3,FFFFFF,0000FF,1,7728,,,009
SEVERNA PARK & ANNAPOLIS - DC,3,000000,A6CAF0,1,7792,,,230
RT. 40/ROLLING - BULLNECK RD.,3,FFFFFF,0000FF,1,7729,,,010
KENT ISLAND & DAVIDSONVILLE - DC,3,000000,A6CAF0,1,7794,,,250
SECURITY/EDMONDSON - CITY HALL,3,FFFFFF,0000FF,1,7739,,,020
STATE CENTER - GOUCHER/CARNEY,3,FFFFFF,0000FF,1,7738,,,019
DOWNTOWN - DUNDALK MARINE TERMINAL,3,FFFFFF,0000FF,1,7539,,,026
WHISPERING WOODS - MORAVIA,3,FFFFFF,0000FF,1,7538,,,024
FELLS POINT - MONDAWMIN,3,FFFFFF,0000FF,1,7535,,,021
SECURITY/EDMONDSON - CITY HALL,3,FFFFFF,0000FF,1,7534,,,020
RT40 & ROLLING - FOX RIDGE,3,FFFFFF,0000FF,1,7537,,,023
BAYVIEW - MONDAWMIN,3,FFFFFF,0000FF,1,7536,,,022
PATAPSCO STATION-PARKWAY CENTER,3,FFFFFF,0000FF,1,7531,,,017
MONDAWMIN - BROOKLYN HOMES,3,FFFFFF,0000FF,1,7530,,,016
STATE CENTER - GOUCHER/CARNEY,3,FFFFFF,0000FF,1,7533,,,019
GLEN - BAAS & TALMUDICAL,3,FFFFFF,800080,1,7532,,,018
GLEN - BAAS & TALMUDICAL,3,FFFFFF,800080,1,7737,,,018
GAITHERSBURG - FORT MEADE,3,000000,A6CAF0,1,7788,,,202
COLUMBIA - BETHESDA,3,000000,A6CAF0,1,7789,,,203
LIGHT RAIL,0,000000,00FFFF,1,7786,,,LIGHT RAIL
GAITHERSBURG - BWI BUS DIST,3,000000,A6CAF0,1,7787,,,201
WHISPERING WOOD/ESSEX- HOPKINS HOSP,3,FFFFFF,FF0000,1,7784,,,160
STATE CTR. - CARNEY/GOUCHER BLV EXP,3,FFFFFF,FF0000,1,7785,,,19X
COLUMBIA-SARATOGA EXT.,3,FFFFFF,FF0000,1,7782,,,150
SINAI - FORT McHENRY,3,FFFFFF,0000FF,1,7722,,,001
